load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,key_resp_15.rt,key_resp_15.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
0.001,0.197,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,0.232,43.045,43.053,59.888,59.926,61.902,n,1,1.289,,61.902,61.905,,0,61.906,61.907,,61.908,61.909,,0,0,0,0,1,cvmt/sample/s1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,61.909,63.901,n,1,0.969,,63.901,63.901,,0,63.901,63.902,,63.902,63.902,,0,1,1,1,1,cvmt/sample/s2.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,63.902,65.901,o,1,1.308,,65.901,65.902,,0,65.902,65.902,,65.902,65.903,,0,2,2,2,1,cvmt/sample/s3.jpg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,65.903,67.902,n,1,0.707,,67.902,67.902,,0,67.902,67.903,,67.903,67.903,,0,3,3,3,1,cvmt/sample/s4.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,67.904,69.901,n,1,0.675,,69.901,69.901,,0,69.901,69.902,,69.902,69.902,,0,4,4,4,1,cvmt/sample/s5.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,69.902,71.902,n,1,0.876,,71.902,71.902,,0,71.902,71.903,,71.903,71.903,,0,5,5,5,1,cvmt/sample/s6.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,71.904,73.899,n,0,0.558,,73.899,73.899,,0,73.899,79.917,c,79.918,79.918,,0,6,6,6,1,cvmt/sample/s7.jpg,o,5.984,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,79.918,81.918,o,0,1.474,,81.918,81.918,,0,81.918,86.935,c,86.935,86.935,,0,7,7,7,1,cvmt/sample/s8.jpg,n,4.975,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,86.936,88.932,n,1,0.981,,88.932,88.932,,0,88.932,88.935,,88.935,88.935,,0,8,8,8,1,cvmt/sample/s9.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,88.936,90.933,n,1,0.861,,90.933,90.933,,0,90.933,90.933,,90.933,90.934,,0,9,9,9,1,cvmt/sample/s10.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,90.934,92.934,o,1,0.831,,92.934,92.934,,0,92.934,92.934,,92.934,101.455,c,0,10,10,10,1,cvmt/sample/s11.jpg,o,,,8.466,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,101.457,113.485,113.498,115.498,n,1,0.977,,115.498,115.499,,0,115.499,115.499,,115.499,115.502,,0,0,0,0,1,cvmt/test_items/t1.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,115.502,117.502,n,1,0.713,,117.502,117.502,,0,117.502,117.503,,117.503,117.503,,0,1,1,1,1,cvmt/test_items/t2.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,117.504,119.5,n,0,0.977,,119.5,119.5,,0,119.5,119.501,,119.501,119.501,,0,2,2,2,1,cvmt/test_items/t3.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,119.501,121.502,n,0,0.561,,121.502,121.502,,0,121.502,121.503,,121.503,121.503,,0,3,3,3,1,cvmt/test_items/t4.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,121.503,123.5,n,0,0.529,,123.5,123.5,,0,123.5,123.501,,123.501,123.501,,0,4,4,4,1,cvmt/test_items/t5.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,123.501,125.499,n,0,0.708,,125.499,125.499,,0,125.499,125.499,,125.499,125.499,,0,5,5,5,1,cvmt/test_items/t6.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,125.5,127.5,n,0,0.568,,127.5,127.5,,0,127.5,127.501,,127.501,127.501,,0,6,6,6,1,cvmt/test_items/t7.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,127.501,129.499,o,1,0.781,,129.499,129.499,,0,129.499,129.499,,129.499,129.499,,0,7,7,7,1,cvmt/test_items/t8.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,129.499,131.5,n,0,1.064,,131.5,131.5,,0,131.5,131.5,,131.5,131.5,,0,8,8,8,1,cvmt/test_items/t9.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,131.5,133.501,n,0,1.245,,133.501,133.502,,0,133.502,133.502,,133.502,133.502,,0,9,9,9,1,cvmt/test_items/t10.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108199,022,1,2024-03-12_14h01.37.066,Memory and Syntax,2023.2.3,MacIntel,111.1111111,,,,,133.503,135.499,n,1,1.722,,135.499,135.499,,0,135.499,135.499,,135.499,135.499,,0,10,10,10,1,cvmt/test_items/t11.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
