load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,key_resp_15.rt,key_resp_15.duration,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
0.0013,0.2235,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,0.2482,50.0881,50.0955,52.2734,52.3276,54.2895,,0,54.291,60.9075,n,1,6.5928,,60.9082,60.9201,,60.9208,60.9223,,0,0,0,0,1,cvmt/sample/s1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,60.924,62.9222,,0,62.9232,65.5872,o,0,2.644,,65.5881,71.8372,c,71.8381,71.8397,,0,1,1,1,1,cvmt/sample/s2.jpg,n,6.2034,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,71.853,73.8569,,0,73.8578,79.4717,o,1,5.5964,,79.4725,79.4872,,79.4877,79.4888,,0,2,2,2,1,cvmt/sample/s3.jpg,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,79.4903,81.4865,,0,81.4878,82.4891,n,1,0.9861,,82.4899,82.4918,,82.4925,82.4939,,0,3,3,3,1,cvmt/sample/s4.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,82.4962,84.4891,n,1,84.49,84.4919,,0,,,84.4928,84.4948,,84.4956,84.4971,,0,4,4,4,1,cvmt/sample/s5.jpg,n,,,1.0602,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,84.4993,86.4888,n,1,86.4899,86.4919,,0,,,86.4927,86.4946,,86.4954,86.4969,,0,5,5,5,1,cvmt/sample/s6.jpg,n,,,0.8161,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,86.4992,88.5023,o,1,88.5028,88.5036,,0,,,88.5041,88.505,,88.5054,88.5061,,0,6,6,6,1,cvmt/sample/s7.jpg,o,,,1.7846,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,88.5073,90.5045,n,1,90.5057,90.5079,,0,,,90.5087,90.5107,,90.5116,90.5132,,0,7,7,7,1,cvmt/sample/s8.jpg,n,,,1.0719,,,,,,,,,,,,,,,,,,,,,,,,,
,,113834,119,1,2024-03-05_22h35.34.021,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,90.5154,92.5047,n,1,92.5055,92.5069,,0,,,92.5076,92.5093,,92.5099,92.5114,,0,8,8,8,1,cvmt/sample/s9.jpg,n,,,0.9868,,,,,,,,,,,,,,,,,,,,,,,,,
