load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
0.0009,0.5409,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,0.5543,1.8093,1.8182,2.3068,2.342,4.3252,n,1,0.9529,,4.3266,4.3305,,0,4.3311,4.3336,,4.3342,4.336,,0,0,0,0,1,cvmt/sample/s1.jpg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,4.3381,6.3411,n,1,0.5061,,6.3423,6.3439,,0,6.3445,6.346,,6.3466,6.3477,,0,1,1,1,1,cvmt/sample/s2.jpg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,6.3499,8.341,o,1,0.2927,,8.3422,8.3437,,0,8.3444,8.3461,,8.3466,8.3478,,0,2,2,2,1,cvmt/sample/s3.jpg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,8.3496,10.3402,n,1,0.7611,,10.3409,10.3424,,0,10.3431,10.3449,,10.3454,10.3466,,0,3,3,3,1,cvmt/sample/s4.jpg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,10.3488,12.3409,n,1,0.9013,,12.342,12.3434,,0,12.344,12.3457,,12.3463,12.3477,,0,4,4,4,1,cvmt/sample/s5.jpg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,12.3496,14.3542,n,1,0.9348,,14.3547,14.3557,,0,14.3561,14.357,,14.3573,14.3581,,0,5,5,5,1,cvmt/sample/s6.jpg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,14.3593,16.357,o,1,0.3098,,16.3578,16.3593,,0,16.36,16.3616,,16.3622,16.3635,,0,6,6,6,1,cvmt/sample/s7.jpg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,16.3655,18.357,n,1,0.9119,,18.3576,18.3589,,0,18.3594,18.3609,,18.3615,18.3624,,0,7,7,7,1,cvmt/sample/s8.jpg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,18.3641,20.3577,n,1,1.1405,,20.3584,20.3601,,0,20.3607,20.3625,,20.3631,20.3644,,0,8,8,8,1,cvmt/sample/s9.jpg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,20.3665,22.3576,n,1,0.4687,,22.3584,22.3598,,0,22.3605,22.3621,,22.3627,22.364,,0,9,9,9,1,cvmt/sample/s10.jpg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,22.3661,24.3576,o,1,0.9504,,24.3589,24.3607,,0,24.3613,24.3632,,24.3638,24.3659,,0,10,10,10,1,cvmt/sample/s11.jpg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,24.3671,25.1398,25.1533,27.1566,n,1,1.0837,,27.1567,27.1569,,0,27.1569,27.1575,,27.1575,27.1577,,0,0,0,0,1,cvmt/test_items/t1.jpeg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,27.1581,29.1565,o,0,0.3717,,29.1565,29.1568,,0,29.1569,29.1575,,29.1576,29.1576,,0,1,1,1,1,cvmt/test_items/t2.jpeg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,29.158,31.1564,n,0,0.4405,,31.1565,31.1567,,0,31.1567,31.1573,,31.1574,31.1574,,0,2,2,2,1,cvmt/test_items/t3.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,31.1577,33.1564,o,1,0.6452,,33.1566,33.1568,,0,33.1568,33.1573,,33.1573,33.1574,,0,3,3,3,1,cvmt/test_items/t4.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,33.1577,35.1556,n,0,0.435,,35.1557,35.1559,,0,35.156,35.1564,,35.1564,35.1564,,0,4,4,4,1,cvmt/test_items/t5.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,35.1567,37.1566,o,1,0.6601,,37.1567,37.1569,,0,37.157,37.1578,,37.1578,37.158,,0,5,5,5,1,cvmt/test_items/t6.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,37.1584,39.1564,n,0,0.9197,,39.1566,39.1568,,0,39.1568,39.1574,,39.1574,39.1575,,0,6,6,6,1,cvmt/test_items/t7.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,39.1578,41.1565,o,1,0.7635,,41.1565,41.1567,,0,41.1568,41.1574,,41.1574,41.1575,,0,7,7,7,1,cvmt/test_items/t8.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,41.1578,43.1564,n,0,1.1589,,43.1564,43.1566,,0,43.1566,43.157,,43.157,43.1572,,0,8,8,8,1,cvmt/test_items/t9.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,43.1574,45.1564,o,1,0.7489,,45.1564,45.1566,,0,45.1566,45.157,,45.157,45.157,,0,9,9,9,1,cvmt/test_items/t10.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,45.1573,47.1566,o,0,0.7271,,47.1566,47.1569,,0,47.157,47.1576,,47.1576,47.1576,,0,10,10,10,1,cvmt/test_items/t11.jpeg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,47.1579,49.1562,n,0,0.6916,,49.1563,49.1564,,0,49.1565,49.157,,49.157,49.1571,,0,11,11,11,1,cvmt/test_items/t12.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,49.1574,51.1563,o,1,0.5719,,51.1563,51.1566,,0,51.1567,51.1571,,51.1571,51.1571,,0,12,12,12,1,cvmt/test_items/t13.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,51.1573,53.1565,o,1,0.7062,,53.1566,53.1567,,0,53.1568,53.1572,,53.1572,53.1572,,0,13,13,13,1,cvmt/test_items/t14.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,53.1575,55.1559,o,1,0.8948,,55.1559,55.156,,0,55.156,55.1561,,55.1561,55.1562,,0,14,14,14,1,cvmt/test_items/t15.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,55.1562,57.1565,n,0,0.7435,,57.1565,57.1567,,0,57.1567,57.1573,,57.1573,57.1575,,0,15,15,15,1,cvmt/test_items/t16.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,57.1578,59.1563,n,0,0.7935,,59.1564,59.1565,,0,59.1566,59.1569,,59.1569,59.157,,0,16,16,16,1,cvmt/test_items/t17.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,59.1572,61.1565,o,1,0.7127,,61.1565,61.1568,,0,61.1568,61.1573,,61.1573,61.1574,,0,17,17,17,1,cvmt/test_items/t18.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,61.1578,63.1563,n,1,0.6599,,63.1565,63.1567,,0,63.1567,63.1574,,63.1574,63.1575,,0,18,18,18,1,cvmt/test_items/t19.jpeg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,63.158,65.1565,o,1,0.5664,,65.1566,65.1568,,0,65.1568,65.1574,,65.1574,65.1574,,0,19,19,19,1,cvmt/test_items/t20.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
