load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
0.0011,0.5475,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,0.5625,7.5584,7.5665,11.4572,11.4948,13.4755,,0,13.4769,14.6404,n,1,1.141,,14.6408,14.6423,,14.6427,14.6438,,0,0,0,0,1,cvmt/sample/s1.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,14.6451,16.6417,,0,16.6428,16.8743,n,1,0.2138,,16.8752,16.8772,,16.8779,16.8791,,0,1,1,1,1,cvmt/sample/s2.jpg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,16.8814,18.8747,o,1,18.876,18.8775,,0,,,18.8781,18.8797,,18.8803,18.8814,,0,2,2,2,1,cvmt/sample/s3.jpg,o,1.3359,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,18.8839,20.8746,n,1,20.8758,20.8772,,0,,,20.8778,20.8794,,20.8799,20.881,,0,3,3,3,1,cvmt/sample/s4.jpg,n,1.587,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,20.8836,22.8749,n,1,22.876,22.8777,,0,,,22.8783,22.88,,22.8807,22.882,,0,4,4,4,1,cvmt/sample/s5.jpg,n,1.1499,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,22.8841,24.8746,n,1,24.8758,24.8771,,0,,,24.8776,24.879,,24.8796,24.8815,,0,5,5,5,1,cvmt/sample/s6.jpg,n,1.1168,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,24.8832,26.8744,o,1,26.8753,26.8767,,0,,,26.8774,26.8791,,26.8796,26.881,,0,6,6,6,1,cvmt/sample/s7.jpg,o,1.8024,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,26.8831,28.8747,n,1,28.8759,28.8774,,0,,,28.8781,28.8796,,28.8802,28.8814,,0,7,7,7,1,cvmt/sample/s8.jpg,n,1.0672,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,28.8835,30.8746,n,1,30.8758,30.8772,,0,,,30.8779,30.8797,,30.8803,30.8816,,0,8,8,8,1,cvmt/sample/s9.jpg,n,1.4622,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,30.8836,32.8746,n,1,32.8758,32.8773,,0,,,32.8779,32.8794,,32.8799,32.881,,0,9,9,9,1,cvmt/sample/s10.jpg,n,1.5012,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,32.8832,34.8742,,0,34.875,39.3242,o,1,4.431,,39.3251,39.3355,,39.336,39.3377,,0,10,10,10,1,cvmt/sample/s11.jpg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,39.3409,46.24,46.2617,48.2567,,0,48.2568,49.256,n,1,0.9927,,49.256,49.2565,,49.2565,49.2567,,0,0,0,0,1,cvmt/test_items/t1.jpeg,n,,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,49.2571,51.2566,n,1,51.2567,51.2569,,0,,,51.2569,51.2574,,51.2574,51.2575,,0,1,1,1,1,cvmt/test_items/t2.jpeg,n,1.7515,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,51.2577,53.2568,n,0,53.2569,53.2572,,0,,,53.2572,53.2579,,53.2579,53.2581,,0,2,2,2,1,cvmt/test_items/t3.jpeg,o,1.3758,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,53.2584,55.2568,n,0,55.2568,55.2571,,0,,,55.2571,55.2576,,55.2576,55.2578,,0,3,3,3,1,cvmt/test_items/t4.jpeg,o,1.0928,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,55.2581,57.2567,n,0,57.2568,57.257,,0,,,57.257,57.2576,,57.2576,57.2577,,0,4,4,4,1,cvmt/test_items/t5.jpeg,o,1.3324,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,57.2581,59.2568,n,0,59.2568,59.2571,,0,,,59.2571,59.2576,,59.2576,59.2578,,0,5,5,5,1,cvmt/test_items/t6.jpeg,o,1.4637,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,59.2581,61.2567,n,0,61.2568,61.2571,,0,,,61.2572,61.2577,,61.2577,61.258,,0,6,6,6,1,cvmt/test_items/t7.jpeg,o,1.3211,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,61.2584,63.257,n,0,63.2571,63.2573,,0,,,63.2573,63.2579,,63.2579,63.258,,0,7,7,7,1,cvmt/test_items/t8.jpeg,o,1.2312,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,63.2584,65.2568,n,0,65.2569,65.2571,,0,,,65.2572,65.2578,,65.2579,65.2579,,0,8,8,8,1,cvmt/test_items/t9.jpeg,o,1.5654,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,65.2583,67.2568,,0,67.2568,71.1067,n,0,3.8363,,71.1068,71.1164,,71.1165,71.1165,,0,9,9,9,1,cvmt/test_items/t10.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,71.1166,73.1069,n,1,73.1069,73.1094,,0,,,73.1094,73.1099,,73.1099,73.11,,0,10,10,10,1,cvmt/test_items/t11.jpeg,n,1.4753,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,73.1102,75.107,,0,75.1071,76.7907,n,0,1.6782,,76.7908,76.8,,76.8,76.8001,,0,11,11,11,1,cvmt/test_items/t12.jpeg,o,,,,,,,,,,,,,,,,,,,,,,,,
,,117393,180,1,2024-03-07_21h47.59.889,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,76.8003,78.7901,o,1,78.7902,78.7928,,0,,,78.7928,78.7933,,78.7933,78.7934,,0,12,12,12,1,cvmt/test_items/t13.jpeg,o,1.4907,,,,,,,,,,,,,,,,,,,,,,,
