word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3,8.345343900000444,9.240260599995963,9.240260599995963,9.240260599995963,,,,,1,2,2023-02-20_16h57.41.064,Memory and Syntax,2022.2.5,166.13889878202954,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,4,,10.37391999999818,10.37391999999818,10.37391999999818,,,,,1,2,2023-02-20_16h57.41.064,Memory and Syntax,2022.2.5,166.13889878202954,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,11.520654599997215,11.520654599997215,11.520654599997215,,,,,1,2,2023-02-20_16h57.41.064,Memory and Syntax,2022.2.5,166.13889878202954,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,12.309274300001562,12.309274300001562,12.309274300001562,,,,,1,2,2023-02-20_16h57.41.064,Memory and Syntax,2022.2.5,166.13889878202954,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,5,,13.040400500001851,13.040400500001851,13.040400500001851,,,,,1,2,2023-02-20_16h57.41.064,Memory and Syntax,2022.2.5,166.13889878202954,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,1,,13.803464800002985,13.803464800002985,13.803464800002985,,,,,1,2,2023-02-20_16h57.41.064,Memory and Syntax,2022.2.5,166.13889878202954,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,3,,14.736461499996949,14.736461499996949,14.736461499996949,,,,,1,2,2023-02-20_16h57.41.064,Memory and Syntax,2022.2.5,166.13889878202954,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,5,,15.712314899996272,15.712314899996272,15.712314899996272,,,,,1,2,2023-02-20_16h57.41.064,Memory and Syntax,2022.2.5,166.13889878202954,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,4,,16.325405299998238,16.325405299998238,16.325405299998238,,,,,1,2,2023-02-20_16h57.41.064,Memory and Syntax,2022.2.5,166.13889878202954,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,2,,16.943043499995838,16.943043499995838,16.943043499995838,,,,,1,2,2023-02-20_16h57.41.064,Memory and Syntax,2022.2.5,166.13889878202954,
