word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,participant,session,date,expName,psychopyVersion,frameRate,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,8.9792071999982,8.9792071999982,18.26013480000256,22.432893599994713,22.432893599994713,22.432893599994713,,,,,,,,,,,,1,2,2023-02-20_17h14.59.782,Memory and Syntax,2022.2.5,164.3798687416323,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,23.32203500000469,23.32203500000469,23.32203500000469,,,,,,,,,,,,1,2,2023-02-20_17h14.59.782,Memory and Syntax,2022.2.5,164.3798687416323,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,5,,,,,,,,24.09751530000358,24.09751530000358,24.09751530000358,,,,,,,,,,,,1,2,2023-02-20_17h14.59.782,Memory and Syntax,2022.2.5,164.3798687416323,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,25.15362080000341,25.15362080000341,25.15362080000341,,,,,,,,,,,,1,2,2023-02-20_17h14.59.782,Memory and Syntax,2022.2.5,164.3798687416323,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,25.812512799995602,25.812512799995602,25.812512799995602,,,,,,,,,,,,1,2,2023-02-20_17h14.59.782,Memory and Syntax,2022.2.5,164.3798687416323,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,3,,,,,,,,26.770267400002922,26.770267400002922,26.770267400002922,,,,,,,,,,,,1,2,2023-02-20_17h14.59.782,Memory and Syntax,2022.2.5,164.3798687416323,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,0,,,,,,,,27.503547600004822,27.503547600004822,27.503547600004822,,,,,,,,,,,,1,2,2023-02-20_17h14.59.782,Memory and Syntax,2022.2.5,164.3798687416323,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,5,,,,,,,,28.113544799998635,28.113544799998635,28.113544799998635,,,,,,,,,,,,1,2,2023-02-20_17h14.59.782,Memory and Syntax,2022.2.5,164.3798687416323,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,3,,,,,,,,28.93271170000662,28.93271170000662,28.93271170000662,,,,,,,,,,,,1,2,2023-02-20_17h14.59.782,Memory and Syntax,2022.2.5,164.3798687416323,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,2,,,,,,,,29.76411370000278,29.76411370000278,29.76411370000278,,,,,,,,,,,,1,2,2023-02-20_17h14.59.782,Memory and Syntax,2022.2.5,164.3798687416323,
