word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,answerbox.started,participant,session,date,expName,psychopyVersion,frameRate,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,11.648566100004246,11.648566100004246,13.402461899997434,14.368547000005492,14.368547000005492,14.368547000005492,,,,,,,,,,,,,1,2,2023-02-20_17h23.36.274,Memory and Syntax,2022.2.5,70.05464963442077,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,5,,,,,,,,15.384002799997688,15.384002799997688,15.384002799997688,,,,,,,,,,,,,1,2,2023-02-20_17h23.36.274,Memory and Syntax,2022.2.5,70.05464963442077,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,1,,,,,,,,15.696290599997155,15.696290599997155,15.696290599997155,,,,,,,,,,,,,1,2,2023-02-20_17h23.36.274,Memory and Syntax,2022.2.5,70.05464963442077,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,16.012994899996556,16.012994899996556,16.012994899996556,,,,,,,,,,,,,1,2,2023-02-20_17h23.36.274,Memory and Syntax,2022.2.5,70.05464963442077,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,16.30928290000884,16.30928290000884,16.30928290000884,,,,,,,,,,,,,1,2,2023-02-20_17h23.36.274,Memory and Syntax,2022.2.5,70.05464963442077,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,3,,,,,,,,16.666230200004065,16.666230200004065,16.666230200004065,,,,,,,,,,,,,1,2,2023-02-20_17h23.36.274,Memory and Syntax,2022.2.5,70.05464963442077,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,1,,,,,,,,17.02061930000491,17.02061930000491,17.02061930000491,,,,,,,,,,,,,1,2,2023-02-20_17h23.36.274,Memory and Syntax,2022.2.5,70.05464963442077,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,2,,,,,,,,17.475272499999846,17.475272499999846,17.475272499999846,,,,,,,,,,,,,1,2,2023-02-20_17h23.36.274,Memory and Syntax,2022.2.5,70.05464963442077,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,5,,,,,,,,17.859624200005783,17.859624200005783,17.859624200005783,,,,,,,,,,,,,1,2,2023-02-20_17h23.36.274,Memory and Syntax,2022.2.5,70.05464963442077,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,4,,,,,,,,18.37405929999659,18.37405929999659,18.37405929999659,,,,,,,,,,,,,1,2,2023-02-20_17h23.36.274,Memory and Syntax,2022.2.5,70.05464963442077,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,3,,,,,,,,19.217474600009155,19.217474600009155,19.217474600009155,,,,,,,,,,,,,1,2,2023-02-20_17h23.36.274,Memory and Syntax,2022.2.5,70.05464963442077,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,0,,,,,,,,19.75604020000901,19.75604020000901,19.75604020000901,,,,,,,,,,,,,1,2,2023-02-20_17h23.36.274,Memory and Syntax,2022.2.5,70.05464963442077,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.27944959999877,20.27944959999877,t,1.8208912999980384,22.11609640000097,22.11609640000097,Type response now,[],22.973201200002222,22.973201200002222,22.973201200002222,22.973201200002222,,,,,,,
