word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,answerbox.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_fb.started,participant,session,date,expName,psychopyVersion,frameRate,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,16.915277899999637,16.915277899999637,17.773941899999045,18.483327199995983,18.483327199995983,18.483327199995983,,,,,,,,,,,,,,,,1,2,2023-02-20_17h39.14.703,Memory and Syntax,2022.2.5,70.17346881338374,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,19.84039899999334,19.84039899999334,19.84039899999334,,,,,,,,,,,,,,,,1,2,2023-02-20_17h39.14.703,Memory and Syntax,2022.2.5,70.17346881338374,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,,,,,20.309939200000372,20.309939200000372,20.309939200000372,,,,,,,,,,,,,,,,1,2,2023-02-20_17h39.14.703,Memory and Syntax,2022.2.5,70.17346881338374,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,5,,,,,,,,,,,,20.680687899992336,20.680687899992336,20.680687899992336,,,,,,,,,,,,,,,,1,2,2023-02-20_17h39.14.703,Memory and Syntax,2022.2.5,70.17346881338374,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,2,,,,,,,,,,,,21.06392609998875,21.06392609998875,21.06392609998875,,,,,,,,,,,,,,,,1,2,2023-02-20_17h39.14.703,Memory and Syntax,2022.2.5,70.17346881338374,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,0,,,,,,,,,,,,21.452681499999017,21.452681499999017,21.452681499999017,,,,,,,,,,,,,,,,1,2,2023-02-20_17h39.14.703,Memory and Syntax,2022.2.5,70.17346881338374,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,0,,,,,,,,,,,,21.84552750000148,21.84552750000148,21.84552750000148,,,,,,,,,,,,,,,,1,2,2023-02-20_17h39.14.703,Memory and Syntax,2022.2.5,70.17346881338374,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,3,,,,,,,,,,,,23.66993069999444,23.66993069999444,23.66993069999444,,,,,,,,,,,,,,,,1,2,2023-02-20_17h39.14.703,Memory and Syntax,2022.2.5,70.17346881338374,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,5,,,,,,,,,,,,24.196446199988713,24.196446199988713,24.196446199988713,,,,,,,,,,,,,,,,1,2,2023-02-20_17h39.14.703,Memory and Syntax,2022.2.5,70.17346881338374,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,1,,,,,,,,,,,,24.679371599995648,24.679371599995648,24.679371599995648,,,,,,,,,,,,,,,,1,2,2023-02-20_17h39.14.703,Memory and Syntax,2022.2.5,70.17346881338374,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,2,,,,,,,,,,,,25.137804300000425,25.137804300000425,25.137804300000425,,,,,,,,,,,,,,,,1,2,2023-02-20_17h39.14.703,Memory and Syntax,2022.2.5,70.17346881338374,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,4,,,,,,,,,,,,25.607951799989678,25.607951799989678,25.607951799989678,,,,,,,,,,,,,,,,1,2,2023-02-20_17h39.14.703,Memory and Syntax,2022.2.5,70.17346881338374,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,26.017228899989277,26.017228899989277,t,1.2223110999912024,27.25593200000003,27.25593200000003,29.317921099995147,lu pleck,"[8.693372000008821, 0.1980180999962613, 8.863386299999547, 0.3362820000038482, 8.93708799999149, 0.5045789000141667, 9.118905899988022, 0.5983805000141729, 10.251004499994451]",29.317921099995147,29.317921099995147,29.317921099995147,"['l', 'u', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[8.693372000008821, 8.891390100005083, 9.061404399995808, 9.199668300003395, 9.273369999995339, 9.441666900005657, 9.623484800002188, 9.717286400002195, 10.849385000008624]",40.1839212999912,1,2,2023-02-20_17h39.14.703,Memory and Syntax,2022.2.5,70.17346881338374,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.19699749999563,Type response now,[],41.19699749999563,41.19699749999563,41.19699749999563,,,,,,,,,,
