word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,answerbox.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,participant,session,date,expName,psychopyVersion,frameRate,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,11.050202200000058,11.050202200000058,11.694304899996496,12.064458499997272,12.064458499997272,12.064458499997272,,,,,,,,,,,,,1,2,2023-02-20_17h44.35.406,Memory and Syntax,2022.2.5,70.00943027075022,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,12.609568500003661,12.609568500003661,12.609568500003661,,,,,,,,,,,,,1,2,2023-02-20_17h44.35.406,Memory and Syntax,2022.2.5,70.00943027075022,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,1,,,,,,,,12.778899999990244,12.778899999990244,12.778899999990244,,,,,,,,,,,,,1,2,2023-02-20_17h44.35.406,Memory and Syntax,2022.2.5,70.00943027075022,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,,,,12.937505499998224,12.937505499998224,12.937505499998224,,,,,,,,,,,,,1,2,2023-02-20_17h44.35.406,Memory and Syntax,2022.2.5,70.00943027075022,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,5,,,,,,,,13.105847400001949,13.105847400001949,13.105847400001949,,,,,,,,,,,,,1,2,2023-02-20_17h44.35.406,Memory and Syntax,2022.2.5,70.00943027075022,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,4,,,,,,,,13.234326999998302,13.234326999998302,13.234326999998302,,,,,,,,,,,,,1,2,2023-02-20_17h44.35.406,Memory and Syntax,2022.2.5,70.00943027075022,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,2,,,,,,,,13.407372000001487,13.407372000001487,13.407372000001487,,,,,,,,,,,,,1,2,2023-02-20_17h44.35.406,Memory and Syntax,2022.2.5,70.00943027075022,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,3,,,,,,,,13.53380869999819,13.53380869999819,13.53380869999819,,,,,,,,,,,,,1,2,2023-02-20_17h44.35.406,Memory and Syntax,2022.2.5,70.00943027075022,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,4,,,,,,,,13.704553299990948,13.704553299990948,13.704553299990948,,,,,,,,,,,,,1,2,2023-02-20_17h44.35.406,Memory and Syntax,2022.2.5,70.00943027075022,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,0,,,,,,,,13.87725409999257,13.87725409999257,13.87725409999257,,,,,,,,,,,,,1,2,2023-02-20_17h44.35.406,Memory and Syntax,2022.2.5,70.00943027075022,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,5,,,,,,,,14.074848100004601,14.074848100004601,14.074848100004601,,,,,,,,,,,,,1,2,2023-02-20_17h44.35.406,Memory and Syntax,2022.2.5,70.00943027075022,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,1,,,,,,,,14.301026799992542,14.301026799992542,14.301026799992542,,,,,,,,,,,,,1,2,2023-02-20_17h44.35.406,Memory and Syntax,2022.2.5,70.00943027075022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.513661799996044,14.513661799996044,t,1.0327916999958688,15.567422299995087,15.567422299995087,16.203916099999333,,[6.042603300011251],16.203916099999333,16.203916099999333,16.203916099999333,,,,,,,
