sentence,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxP_block.thisRepN,S2_sentPraxP_block.thisTrialN,S2_sentPraxP_block.thisN,S2_sentPraxP_block.thisIndex,S2_sentPraxP_trials.thisRepN,S2_sentPraxP_trials.thisTrialN,S2_sentPraxP_trials.thisN,S2_sentPraxP_trials.thisIndex,target,foils,brocanto_story.started,start_brocanto.started,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_P_instr_text.started,sentPrax_P_begin.started,blankITI_2.started,sent_Prax_P_img.started,blankITI_2.stopped,sent_Prax_P_img.stopped,S2_sentPrax_P_key_resp.started,S2_sentPraxP_resp,participant,session,date,expName,psychopyVersion,frameRate,
lu pleck nim li,brocanto/stims/to_use/sentence31.png,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.203209800005425,12.203209800005425,12.98873330000788,12.98873330000788,13.46721350000007,13.46721350000007,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
yab lu neimo lu vode,brocanto/stims/to_use/sentence65.png,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.06655089999549,20.06655089999549,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
yab lu neimo lu neep,brocanto/stims/to_use/sentence63.png,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.66704130001017,26.66704130001017,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
lu neep praz li,brocanto/stims/to_use/sentence68.png,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.26561240002047,33.26561240002047,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
yab lu pleck lu vode,brocanto/stims/to_use/sentence39.png,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8664240000071,39.8664240000071,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
klin lu blom lu troise,brocanto/stims/to_use/sentence14.png,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.47679590000189,46.47679590000189,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
lu blom zayma li,brocanto/stims/to_use/sentence105.png,,,,,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.062228399998276,53.062228399998276,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
lu pleck zayma li,brocanto/stims/to_use/sentence103.png,,,,,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.66221979999682,59.66221979999682,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
klin lu vode lu neep,brocanto/stims/to_use/sentence17.png,,,,,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.30321470001945,66.30321470001945,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
klin lu blom lu neep,brocanto/stims/to_use/sentence12.png,,,,,0,0,0,0,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.89765410000109,72.89765410000109,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
klin lu neimo lu vode,brocanto/stims/to_use/sentence29.png,,,,,0,0,0,0,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.48311150001246,79.48311150001246,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
lu vode praz li,brocanto/stims/to_use/sentence70.png,,,,,0,0,0,0,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.07035059999907,86.07035059999907,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
lu troise zayma li,brocanto/stims/to_use/sentence107.png,,,,,0,0,0,0,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.66245550001622,92.66245550001622,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
lu neep nim li,brocanto/stims/to_use/sentence32.png,,,,,0,0,0,0,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.26657360000536,99.26657360000536,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
klin lu neimo lu pleck,brocanto/stims/to_use/sentence26.png,,,,,0,0,0,0,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.87669110001298,105.87669110001298,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
lu troise nim li,brocanto/stims/to_use/sentence35.png,,,,,0,0,0,0,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.46352240000851,112.46352240000851,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
noyka lu neep lu blom,brocanto/stims/to_use/sentence79.png,,,,,0,0,0,0,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.07664939999813,119.07664939999813,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
lu troise praz li,brocanto/stims/to_use/sentence71.png,,,,,0,0,0,0,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.66733940000995,125.66733940000995,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
noyka lu pleck lu vode,brocanto/stims/to_use/sentence75.png,,,,,0,0,0,0,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.27325660001952,132.27325660001952,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
lu neimo praz li,brocanto/stims/to_use/sentence72.png,,,,,0,0,0,0,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.86256080001476,138.86256080001476,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
lu neimo nim li,brocanto/stims/to_use/sentence36.png,,,,,0,0,0,0,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.46147350000683,145.46147350000683,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
yab lu vode lu neep,brocanto/stims/to_use/sentence53.png,,,,,0,0,0,0,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.06845300001442,152.06845300001442,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
lu blom praz li,brocanto/stims/to_use/sentence69.png,,,,,0,0,0,0,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.6637269000057,158.6637269000057,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
lu neep zayma li,brocanto/stims/to_use/sentence104.png,,,,,0,0,0,0,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.26492869999493,165.26492869999493,,,,,,,,,,,1,2,2023-02-22_13h53.03.336,Memory and Syntax,2022.2.5,174.0419859156099,
