sentence,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxP_block.thisRepN,S2_sentPraxP_block.thisTrialN,S2_sentPraxP_block.thisN,S2_sentPraxP_block.thisIndex,S2_sentPraxP_trials.thisRepN,S2_sentPraxP_trials.thisTrialN,S2_sentPraxP_trials.thisN,S2_sentPraxP_trials.thisIndex,target,foils,too_fast_punish3.thisRepN,too_fast_punish3.thisTrialN,too_fast_punish3.thisN,too_fast_punish3.thisIndex,brocanto_story.started,start_brocanto.started,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_P_instr_text.started,sentPrax_P_begin.started,blankITI_2.started,sent_Prax_P_img.started,blankITI_2.stopped,sent_Prax_P_img.stopped,S2_sentPrax_P_key_resp.started,S2_sentPraxP_resp,S2_sentPraxP_rts,sent_Prax_P_img_3.started,sent_Prax_P_text.started,S2_sentPrax_P_key_resp.keys,S2_sentPrax_P_key_resp.rt,sentPrax_P_fb.started,sentPrax_score_update_2.started,tooFast_score.started,participant,session,date,expName,psychopyVersion,frameRate,
lu pleck nim li,brocanto/stims/to_use/sentence31.png,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.910496900003636,14.910496900003636,16.058817999990424,16.058817999990424,16.876483300002292,16.876483300002292,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
yab lu neimo lu vode,brocanto/stims/to_use/sentence65.png,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.478480499994475,23.478480499994475,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
yab lu neimo lu neep,brocanto/stims/to_use/sentence63.png,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.077642399992328,30.077642399992328,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu neep praz li,brocanto/stims/to_use/sentence68.png,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.67453879999812,36.67453879999812,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
yab lu pleck lu vode,brocanto/stims/to_use/sentence39.png,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.277125399996294,43.277125399996294,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
klin lu blom lu troise,brocanto/stims/to_use/sentence14.png,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.88731560000451,49.88731560000451,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu blom zayma li,brocanto/stims/to_use/sentence105.png,,,,,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.47131160000572,56.47131160000572,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu pleck zayma li,brocanto/stims/to_use/sentence103.png,,,,,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.072736700007226,63.072736700007226,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
klin lu vode lu neep,brocanto/stims/to_use/sentence17.png,,,,,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.71016869999585,69.71016869999585,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
klin lu blom lu neep,brocanto/stims/to_use/sentence12.png,,,,,0,0,0,0,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.30684079998173,76.30684079998173,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
klin lu neimo lu vode,brocanto/stims/to_use/sentence29.png,,,,,0,0,0,0,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.89484769999399,82.89484769999399,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu vode praz li,brocanto/stims/to_use/sentence70.png,,,,,0,0,0,0,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.47898230000283,89.47898230000283,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu troise zayma li,brocanto/stims/to_use/sentence107.png,,,,,0,0,0,0,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.07204669999192,96.07204669999192,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu neep nim li,brocanto/stims/to_use/sentence32.png,,,,,0,0,0,0,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.67332159998477,102.67332159998477,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
klin lu neimo lu pleck,brocanto/stims/to_use/sentence26.png,,,,,0,0,0,0,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.28562599999714,109.28562599999714,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu troise nim li,brocanto/stims/to_use/sentence35.png,,,,,0,0,0,0,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.87195749999955,115.87195749999955,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
noyka lu neep lu blom,brocanto/stims/to_use/sentence79.png,,,,,0,0,0,0,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.48118859998067,122.48118859998067,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu troise praz li,brocanto/stims/to_use/sentence71.png,,,,,0,0,0,0,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.07574050000403,129.07574050000403,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
noyka lu pleck lu vode,brocanto/stims/to_use/sentence75.png,,,,,0,0,0,0,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.68183990000398,135.68183990000398,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu neimo praz li,brocanto/stims/to_use/sentence72.png,,,,,0,0,0,0,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.2721748999902,142.2721748999902,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu neimo nim li,brocanto/stims/to_use/sentence36.png,,,,,0,0,0,0,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.8720962999796,148.8720962999796,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
yab lu vode lu neep,brocanto/stims/to_use/sentence53.png,,,,,0,0,0,0,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.47714869998163,155.47714869998163,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu blom praz li,brocanto/stims/to_use/sentence69.png,,,,,0,0,0,0,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.07580379999126,162.07580379999126,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
lu neep zayma li,brocanto/stims/to_use/sentence104.png,,,,,0,0,0,0,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.67162759997882,168.67162759997882,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
noyka lu vode lu neep,brocanto/stims/to_use/sentence89.png,,,,,0,0,0,0,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.28100429999176,175.28100429999176,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
noyka lu neimo lu troise,brocanto/stims/to_use/sentence102.png,,,,,0,0,0,0,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.8818662999838,181.8818662999838,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_14h04.44.208,Memory and Syntax,2022.2.5,160.56312695022072,
