gjt_sess,img,gjt_corrAns,test_item,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S3_gjt_trials.thisRepN,S3_gjt_trials.thisTrialN,S3_gjt_trials.thisN,S3_gjt_trials.thisIndex,s3_gjt_MS_trials.thisRepN,s3_gjt_MS_trials.thisTrialN,s3_gjt_MS_trials.thisN,s3_gjt_MS_trials.thisIndex,load_text.started,load_text.stopped,gjt_blankITI_2.started,gjt_blankITI_2.stopped,s3_gjt_MS_img.started,s3_gjt_MS_img.stopped,gjt_testSent.started,gjt_testSent.stopped,gjt_prompt_2.started,gjt_prompt_2.stopped,s3_gjt_key_resp_2.keys,s3_gjt_key_resp_2.corr,s3_gjt_key_resp_2.rt,s3_gjt_key_resp_2.started,s3_gjt_key_resp_2.stopped,participant,date,expName,psychopyVersion,frameRate,session,
3.0,stims/placeholders/sentences/ph_sentence1.jpg,n,lu pleck nim,,,,,,,,,0,0,0,0,13.925420045852661,None,16.799479007720947,17.29022216796875,17.29022216796875,18.779380083084106,18.779380083084106,22.77972912788391,22.77972912788391,None,n,1,0.43828701972961426,22.77972912788391,None,1,2022-08-01_17h28.25.373,memory and syntax,2022.1.1,60.1008199140824,3,
3.0,stims/placeholders/sentences/ph_sentence2.jpg,y,lu neimo nim li,,,,,,,,,0,1,1,1,,,23.260122060775757,23.746582984924316,23.746582984924316,25.246286153793335,25.246286153793335,29.24603796005249,29.24603796005249,None,y,1,0.38027215003967285,29.24603796005249,None,1,2022-08-01_17h28.25.373,memory and syntax,2022.1.1,60.1008199140824,3,
3.0,stims/placeholders/sentences/ph_sentence3.jpg,y,yab lu vode lu neep,,,,,,,,,0,2,2,2,,,29.760104179382324,30.246937036514282,30.246937036514282,31.745795965194702,31.745795965194702,35.746246099472046,35.746246099472046,None,y,1,0.3740501403808594,35.746246099472046,None,1,2022-08-01_17h28.25.373,memory and syntax,2022.1.1,60.1008199140824,3,
3.0,stims/placeholders/sentences/ph_sentence4.jpg,n,lu pleck praz,,,,,,,,,0,3,3,3,,,36.176056146621704,36.6623899936676,36.6623899936676,38.16203713417053,38.16203713417053,42.16232705116272,42.16232705116272,None,n,1,0.47239208221435547,42.16232705116272,None,1,2022-08-01_17h28.25.373,memory and syntax,2022.1.1,60.1008199140824,3,
3.0,stims/placeholders/sentences/ph_sentence5.jpg,y,klin lu blom lu neep,,,,,,,,,0,4,4,4,,,42.73745918273926,43.21312499046326,43.21312499046326,44.71213698387146,44.71213698387146,48.71209406852722,48.71209406852722,None,y,1,0.5950350761413574,48.71209406852722,None,1,2022-08-01_17h28.25.373,memory and syntax,2022.1.1,60.1008199140824,3,
3.0,stims/placeholders/sentences/ph_sentence6.jpg,n,lu pleck yab lu vode,,,,,,,,,0,5,5,5,,,49.33533000946045,49.828652143478394,49.828652143478394,51.32877516746521,51.32877516746521,55.328495025634766,55.328495025634766,None,n,1,0.5318841934204102,55.328495025634766,None,1,2022-08-01_17h28.25.373,memory and syntax,2022.1.1,60.1008199140824,3,
3.0,stims/placeholders/sentences/ph_sentence7.jpg,y,lu neimo praz li,,,,,,,,,0,6,6,6,,,56.35129404067993,56.83021306991577,56.83021306991577,58.32828116416931,58.32828116416931,62.32813000679016,62.32813000679016,None,y,1,0.7614080905914307,62.32813000679016,None,1,2022-08-01_17h28.25.373,memory and syntax,2022.1.1,60.1008199140824,3,
3.0,stims/placeholders/sentences/ph_sentence8.jpg,n,lu pleck noyka lu vode,,,,,,,,,0,7,7,7,,,63.49296307563782,63.979653120040894,63.979653120040894,65.47780799865723,65.47780799865723,69.4775710105896,69.4775710105896,None,n,1,0.49104905128479004,69.4775710105896,None,1,2022-08-01_17h28.25.373,memory and syntax,2022.1.1,60.1008199140824,3,
3.0,stims/placeholders/sentences/ph_sentence9.jpg,y,klin lu neimo lu pleck,,,,,,,,,0,8,8,8,,,70.03028917312622,70.51272106170654,70.51272106170654,72.01066517829895,72.01066517829895,76.0107810497284,76.0107810497284,None,y,1,0.5377650260925293,76.0107810497284,None,1,2022-08-01_17h28.25.373,memory and syntax,2022.1.1,60.1008199140824,3,
3.0,stims/placeholders/sentences/ph_sentence10.jpg,y,lu vode nim li,,,,,,,,,0,9,9,9,,,77.3272750377655,77.82517409324646,77.82517409324646,79.31063199043274,79.31063199043274,83.31026101112366,83.31026101112366,None,y,1,0.4338560104370117,83.31026101112366,None,1,2022-08-01_17h28.25.373,memory and syntax,2022.1.1,60.1008199140824,3,
