word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vtest_key_resp.keys,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,20.540292024612427,None,22.547856092453003,None,space,21.890440940856934,22.547856092453003,None,45.74938201904297,None,45.74938201904297,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h53.15.590,memory and syntax,2022.1.1,59.96102958520668,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,47.69533610343933,None,47.69533610343933,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h53.15.590,memory and syntax,2022.1.1,59.96102958520668,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,48.4827880859375,None,48.4827880859375,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h53.15.590,memory and syntax,2022.1.1,59.96102958520668,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,49.44253706932068,None,49.44253706932068,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h53.15.590,memory and syntax,2022.1.1,59.96102958520668,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,53.32483696937561,None,53.32483696937561,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h53.15.590,memory and syntax,2022.1.1,59.96102958520668,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,54.28321814537048,None,54.28321814537048,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h53.15.590,memory and syntax,2022.1.1,59.96102958520668,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,0,,,,,,,,,,,,,,,,,55.177133083343506,None,55.177133083343506,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h53.15.590,memory and syntax,2022.1.1,59.96102958520668,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,5,,,,,,,,,,,,,,,,,55.87738919258118,None,55.87738919258118,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h53.15.590,memory and syntax,2022.1.1,59.96102958520668,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,2,,,,,,,,,,,,,,,,,57.27321410179138,None,57.27321410179138,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h53.15.590,memory and syntax,2022.1.1,59.96102958520668,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,4,,,,,,,,,,,,,,,,,58.62816119194031,None,58.62816119194031,None,,,,,,,,,,,,,,,,1,2,2022-10-15_18h53.15.590,memory and syntax,2022.1.1,59.96102958520668,
