word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,12.372859001159668,None,14.38408088684082,None,space,1.1289758682250977,14.38408088684082,None,17.340794801712036,None,17.340794801712036,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h59.38.140,memory and syntax,2022.1.1,60.08385918418508,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,17.95242190361023,None,17.95242190361023,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h59.38.140,memory and syntax,2022.1.1,60.08385918418508,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,18.285889863967896,None,18.285889863967896,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h59.38.140,memory and syntax,2022.1.1,60.08385918418508,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,19.26880192756653,None,19.26880192756653,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h59.38.140,memory and syntax,2022.1.1,60.08385918418508,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,20.148818969726562,None,20.148818969726562,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h59.38.140,memory and syntax,2022.1.1,60.08385918418508,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,20.39777684211731,None,20.39777684211731,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h59.38.140,memory and syntax,2022.1.1,60.08385918418508,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,2,,,,,,,,,,,,,,,,,21.279212951660156,None,21.279212951660156,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h59.38.140,memory and syntax,2022.1.1,60.08385918418508,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,1,,,,,,,,,,,,,,,,,29.050988912582397,None,29.050988912582397,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h59.38.140,memory and syntax,2022.1.1,60.08385918418508,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,4,,,,,,,,,,,,,,,,,30.08213996887207,None,30.08213996887207,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h59.38.140,memory and syntax,2022.1.1,60.08385918418508,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,3,,,,,,,,,,,,,,,,,31.74214482307434,None,31.74214482307434,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h59.38.140,memory and syntax,2022.1.1,60.08385918418508,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,0,,,,,,,,,,,,,,,,,32.60347294807434,None,32.60347294807434,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h59.38.140,memory and syntax,2022.1.1,60.08385918418508,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,5,,,,,,,,,,,,,,,,,33.248865842819214,None,33.248865842819214,None,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_18h59.38.140,memory and syntax,2022.1.1,60.08385918418508,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,33.827624797821045,None,t,1.6255970001220703,33.827624797821045,None,35.477120876312256,None,['e'],[3.2683470249176025],36.392563819885254,None,36.392563819885254,None,36.392563819885254,None,41.44809293746948,None,1,2,2022-10-15_18h59.38.140,memory and syntax,2022.1.1,60.08385918418508,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,43.00905895233154,None,43.00905895233154,None,43.00905895233154,None,,,,,,,,,
