word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vtest_key_resp.keys,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,15.539431095123291,None,17.55059289932251,None,space,0.8011298179626465,17.55059289932251,None,18.826864004135132,None,18.826864004135132,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h25.10.760,memory and syntax,2022.1.1,60.586552031466894,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,21.06552290916443,None,21.06552290916443,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h25.10.760,memory and syntax,2022.1.1,60.586552031466894,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,21.400866985321045,None,21.400866985321045,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h25.10.760,memory and syntax,2022.1.1,60.586552031466894,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,22.472944974899292,None,22.472944974899292,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h25.10.760,memory and syntax,2022.1.1,60.586552031466894,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,23.37189292907715,None,23.37189292907715,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h25.10.760,memory and syntax,2022.1.1,60.586552031466894,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,23.729783058166504,None,23.729783058166504,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h25.10.760,memory and syntax,2022.1.1,60.586552031466894,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,2,,,,,,,,,,,,,,,,,24.503741025924683,None,24.503741025924683,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h25.10.760,memory and syntax,2022.1.1,60.586552031466894,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,5,,,,,,,,,,,,,,,,,25.169169902801514,None,25.169169902801514,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h25.10.760,memory and syntax,2022.1.1,60.586552031466894,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,4,,,,,,,,,,,,,,,,,26.195852041244507,None,26.195852041244507,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h25.10.760,memory and syntax,2022.1.1,60.586552031466894,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,3,,,,,,,,,,,,,,,,,27.618622064590454,None,27.618622064590454,None,,,,,,,,,,,,,,,,,,1,2,2022-10-15_19h25.10.760,memory and syntax,2022.1.1,60.586552031466894,
