word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,11.803292036056519,None,13.815056085586548,None,space,0.5430409908294678,13.815056085586548,None,15.961381196975708,None,15.961381196975708,None,,,,,,,,,1,2,2022-10-15_21h23.02.395,memory and syntax,2022.1.1,60.020406031370335,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,16.791773080825806,None,16.791773080825806,None,,,,,,,,,1,2,2022-10-15_21h23.02.395,memory and syntax,2022.1.1,60.020406031370335,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,,,18.00849199295044,None,18.00849199295044,None,,,,,,,,,1,2,2022-10-15_21h23.02.395,memory and syntax,2022.1.1,60.020406031370335,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,,,,,,,,,18.402578115463257,None,18.402578115463257,None,,,,,,,,,1,2,2022-10-15_21h23.02.395,memory and syntax,2022.1.1,60.020406031370335,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,19.515098094940186,None,19.515098094940186,None,,,,,,,,,1,2,2022-10-15_21h23.02.395,memory and syntax,2022.1.1,60.020406031370335,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,19.912291049957275,None,19.912291049957275,None,,,,,,,,,1,2,2022-10-15_21h23.02.395,memory and syntax,2022.1.1,60.020406031370335,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,5,,,,,,,,,,,,,20.47328209877014,None,20.47328209877014,None,,,,,,,,,1,2,2022-10-15_21h23.02.395,memory and syntax,2022.1.1,60.020406031370335,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,4,,,,,,,,,,,,,26.875956058502197,None,26.875956058502197,None,,,,,,,,,1,2,2022-10-15_21h23.02.395,memory and syntax,2022.1.1,60.020406031370335,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,3,,,,,,,,,,,,,28.69067621231079,None,28.69067621231079,None,,,,,,,,,1,2,2022-10-15_21h23.02.395,memory and syntax,2022.1.1,60.020406031370335,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,1,,,,,,,,,,,,,29.60114312171936,None,29.60114312171936,None,,,,,,,,,1,2,2022-10-15_21h23.02.395,memory and syntax,2022.1.1,60.020406031370335,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,0,,,,,,,,,,,,,30.03510618209839,None,30.03510618209839,None,,,,,,,,,1,2,2022-10-15_21h23.02.395,memory and syntax,2022.1.1,60.020406031370335,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,2,,,,,,,,,,,,,30.584002017974854,None,30.584002017974854,None,,,,,,,,,1,2,2022-10-15_21h23.02.395,memory and syntax,2022.1.1,60.020406031370335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.117624044418335,None,t,2.3199751377105713,31.117624044418335,None,33.46721315383911,None,,,,,,,
