word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vocabTest_resp,S2_vocabTest_resp.rts,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,13.45768404006958,None,15.47069501876831,None,space,0.4985041618347168,15.47069501876831,None,16.42586088180542,None,16.42586088180542,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h28.19.988,memory and syntax,2022.1.1,59.87415063095986,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,16.790369987487793,None,16.790369987487793,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h28.19.988,memory and syntax,2022.1.1,59.87415063095986,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,17.1268789768219,None,17.1268789768219,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h28.19.988,memory and syntax,2022.1.1,59.87415063095986,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,18.16379404067993,None,18.16379404067993,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h28.19.988,memory and syntax,2022.1.1,59.87415063095986,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,18.905802965164185,None,18.905802965164185,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h28.19.988,memory and syntax,2022.1.1,59.87415063095986,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,20.114197969436646,None,20.114197969436646,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h28.19.988,memory and syntax,2022.1.1,59.87415063095986,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,0,,,,,,,,,,,,,,,,,20.321903944015503,None,20.321903944015503,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h28.19.988,memory and syntax,2022.1.1,59.87415063095986,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,3,,,,,,,,,,,,,,,,,21.495237112045288,None,21.495237112045288,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h28.19.988,memory and syntax,2022.1.1,59.87415063095986,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,4,,,,,,,,,,,,,,,,,22.3597309589386,None,22.3597309589386,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h28.19.988,memory and syntax,2022.1.1,59.87415063095986,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,5,,,,,,,,,,,,,,,,,25.70570707321167,None,25.70570707321167,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h28.19.988,memory and syntax,2022.1.1,59.87415063095986,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,1,,,,,,,,,,,,,,,,,26.658822059631348,None,26.658822059631348,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h28.19.988,memory and syntax,2022.1.1,59.87415063095986,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,2,,,,,,,,,,,,,,,,,27.15849494934082,None,27.15849494934082,None,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_21h28.19.988,memory and syntax,2022.1.1,59.87415063095986,
