word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vocabTest_resp,S2_vocabTest_resp.rts,end_vocabTest_trial,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,24.794111967086792,None,26.795217990875244,None,space,1.390151023864746,26.795217990875244,None,31.19468903541565,None,31.19468903541565,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h47.01.571,memory and syntax,2022.1.1,60.02401358957369,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,32.578054904937744,None,32.578054904937744,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h47.01.571,memory and syntax,2022.1.1,60.02401358957369,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,33.22975206375122,None,33.22975206375122,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h47.01.571,memory and syntax,2022.1.1,60.02401358957369,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,33.800034046173096,None,33.800034046173096,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h47.01.571,memory and syntax,2022.1.1,60.02401358957369,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,34.842560052871704,None,34.842560052871704,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h47.01.571,memory and syntax,2022.1.1,60.02401358957369,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,35.753079891204834,None,35.753079891204834,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h47.01.571,memory and syntax,2022.1.1,60.02401358957369,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,4,,,,,,,,,,,,,,,,,36.615285873413086,None,36.615285873413086,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h47.01.571,memory and syntax,2022.1.1,60.02401358957369,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,5,,,,,,,,,,,,,,,,,38.69075298309326,None,38.69075298309326,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h47.01.571,memory and syntax,2022.1.1,60.02401358957369,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,2,,,,,,,,,,,,,,,,,39.740012884140015,None,39.740012884140015,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h47.01.571,memory and syntax,2022.1.1,60.02401358957369,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,3,,,,,,,,,,,,,,,,,41.13324284553528,None,41.13324284553528,None,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_22h47.01.571,memory and syntax,2022.1.1,60.02401358957369,
