word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vocabTest_resp,end_vocabTest_trial,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,S2_vtest_eval.started,S2_vtest_eval.stopped,S2_v_phase_end.keys,S2_v_phase_end.rt,S2_v_phase_end.started,S2_v_phase_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,32.14401602745056,None,34.15802597999573,None,f,2.633263111114502,34.15802597999573,None,39.31672406196594,None,39.31672406196594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h00.06.152,memory and syntax,2022.1.1,59.924364189143816,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,42.00153207778931,None,42.00153207778931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h00.06.152,memory and syntax,2022.1.1,59.924364189143816,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,46.65183901786804,None,46.65183901786804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h00.06.152,memory and syntax,2022.1.1,59.924364189143816,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,47.8917191028595,None,47.8917191028595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h00.06.152,memory and syntax,2022.1.1,59.924364189143816,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,49.002187967300415,None,49.002187967300415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h00.06.152,memory and syntax,2022.1.1,59.924364189143816,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,50.865511894226074,None,50.865511894226074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h00.06.152,memory and syntax,2022.1.1,59.924364189143816,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,3,,,,,,,,,,,,,,,,,52.73316407203674,None,52.73316407203674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h00.06.152,memory and syntax,2022.1.1,59.924364189143816,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,4,,,,,,,,,,,,,,,,,56.31008696556091,None,56.31008696556091,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h00.06.152,memory and syntax,2022.1.1,59.924364189143816,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,0,,,,,,,,,,,,,,,,,56.96338510513306,None,56.96338510513306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h00.06.152,memory and syntax,2022.1.1,59.924364189143816,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,2,,,,,,,,,,,,,,,,,57.663317918777466,None,57.663317918777466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h00.06.152,memory and syntax,2022.1.1,59.924364189143816,
