word,img,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,load_text.started,load_text.stopped,ajt_instr.started,ajt_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.started,start_ajt.stopped,vocab_text.started,vocab_text.stopped,vocab_image.started,vocab_image.stopped,S2_vrepeat.started,S2_vrepeat.stopped,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.stopped,vtest_instr_text.started,vtest_instr_text.stopped,S2_vocabTest_resp,S2_vocabTest_resp.rts,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_key_resp.started,S2_vtest_key_resp.stopped,S2_vtest_text.started,S2_vtest_text.stopped,S2_vtest_img.started,S2_vtest_img.stopped,S2_vtest_fb.started,S2_vtest_fb.stopped,S2_vtest_eval.started,S2_vtest_eval.stopped,S2_v_phase_end.keys,S2_v_phase_end.rt,S2_v_phase_end.started,S2_v_phase_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,17.309435844421387,None,19.313511848449707,None,l,1.9382047653198242,19.313511848449707,None,22.628288984298706,None,22.628288984298706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,23.719286918640137,None,23.719286918640137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,24.546175003051758,None,24.546175003051758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,25.38168501853943,None,25.38168501853943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,27.387754917144775,None,27.387754917144775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,28.48535680770874,None,28.48535680770874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,4,,,,,,,,,,,,,,,,,29.886003017425537,None,29.886003017425537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,5,,,,,,,,,,,,,,,,,35.71984386444092,None,35.71984386444092,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,1,,,,,,,,,,,,,,,,,36.97823190689087,None,36.97823190689087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,2,,,,,,,,,,,,,,,,,37.60741090774536,None,37.60741090774536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,0,,,,,,,,,,,,,,,,,38.5083749294281,None,38.5083749294281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,3,,,,,,,,,,,,,,,,,41.20182800292969,None,41.20182800292969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,41.991461992263794,None,t,1.5923709869384766,41.991461992263794,None,43.607609033584595,None,lu pleck,"[0.8872349262237549, 0.26522111892700195, 1.0287978649139404, 0.5087070465087891, 1.1071507930755615, 0.6263751983642578, 1.2458148002624512, 0.7473311424255371, 1.5652177333831787]","['l', 'u', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[0.8872349262237549, 1.1524560451507568, 1.2940189838409424, 1.5375049114227295, 1.6158578395843506, 1.7335259914398193, 1.872189998626709, 1.9931459426879883, 2.312548875808716]",44.451613903045654,None,44.451613903045654,None,44.451613903045654,None,46.79371786117554,None,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"[3.495250940322876, -3.1157000064849854]","['return', 'return', 'return']","[0.03783106803894043, 0.22106504440307617, 0.3795509338378906]",48.27172493934631,None,48.27172493934631,None,48.27172493934631,None,57.690624952316284,None,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.5370059013366699, 0.3093760013580322]","['apostrophe', 'return']","[0.5370059013366699, 0.8463819026947021]",58.69106888771057,None,58.69106888771057,None,58.69106888771057,None,68.57431888580322,None,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,"[10.941020965576172, -10.908504962921143, 11.296678066253662]","['return', 'return']","[0.0325160026550293, 0.38817310333251953]",70.51505303382874,None,70.51505303382874,None,70.51505303382874,None,79.94045495986938,None,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,"[10.508890151977539, -10.297495365142822, 10.704995155334473]","['return', 'return']","[0.2113947868347168, 0.4074997901916504]",81.40365481376648,None,81.40365481376648,None,81.40365481376648,None,90.85733103752136,None,,,,,,,1,2,2022-10-15_23h10.14.102,memory and syntax,2022.1.1,60.1508107007334,
