word,img,sentence,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,s2_engAJT_trials.thisRepN,s2_engAJT_trials.thisTrialN,s2_engAJT_trials.thisN,s2_engAJT_trials.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxC_trials.thisRepN,S2_sentPraxC_trials.thisTrialN,S2_sentPraxC_trials.thisN,S2_sentPraxC_trials.thisIndex,target,foils,load_text.started,ajt_instr.started,start_ajt.started,start_ajt.keys,start_ajt.rt,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_fb.started,S2_vtest_fb.stopped,S2_vtest_eval.started,S2_v_phase_end.started,S2_v_phase_end.keys,S2_v_phase_end.rt,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_C_instr_text.started,comp_target1.started,comp_target2.started,comp_target3.started,comp_target4.started,sentPrax_C_begin.started,blankITI.started,sentPrax_trg_sent.started,blankITI.stopped,participant,session,date,expName,psychopyVersion,frameRate,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.961955070495605,13.97330904006958,13.97330904006958,space,1.5102109909057617,15.522041082382202,16.340322971343994,16.340322971343994,16.340322971343994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.718358993530273,18.718358993530273,18.718358993530273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.370817184448242,21.370817184448242,21.370817184448242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.549525022506714,22.549525022506714,22.549525022506714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.82602310180664,23.82602310180664,23.82602310180664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4133620262146,25.4133620262146,25.4133620262146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.14958620071411,26.14958620071411,26.14958620071411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.586453199386597,27.586453199386597,27.586453199386597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.20808506011963,28.20808506011963,28.20808506011963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.124231100082397,29.124231100082397,29.124231100082397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,4,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.487330198287964,30.487330198287964,30.487330198287964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,5,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.26078820228577,32.26078820228577,32.26078820228577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.48553514480591,33.48553514480591,t,1.7741620540618896,35.28541016578674,35.28541016578674,lu plec,"[1.186466932296753, 0.684718132019043, 1.4864249229431152, 1.2365710735321045, 1.5459480285644531, 1.4221270084381104, 1.7787909507751465, 1.8296270370483398]",36.71478605270386,36.71478605270386,36.71478605270386,"['l', 'u', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[1.186466932296753, 1.871185064315796, 2.171143054962158, 2.7229959964752197, 2.7825191020965576, 2.9680750370025635, 3.200917959213257, 3.3205630779266357, 3.6084179878234863]",40.353549003601074,,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lu neep,"[1.3438208103179932, 0.6514711380004883, 2.949223756790161, 1.1549792289733887, 3.309192657470703, 1.5841562747955322, 3.4605627059936523, 2.0167622566223145, 3.6194887161254883, 2.6000661849975586, 4.130363702774048, 2.818132162094116, 4.659294843673706, 3.178011178970337]",41.892059087753296,41.892059087753296,41.892059087753296,"['l', 'u', 'backspace', 'l', 'l', 'u', 'space', 'n', 'e', 'e', 'backspace', 'backspace', 'n', 'e', 'e', 'p', 'return']","[1.1284699440002441, 1.3438208103179932, 1.9952919483184814, 2.3115899562835693, 3.6006948947906494, 4.10420298576355, 4.464171886444092, 4.711561918258667, 4.893348932266235, 5.044718980789185, 5.477324962615967, 5.636250972747803, 6.219554901123047, 6.7304298877716064, 6.948495864868164, 7.477427005767822, 7.837306022644043]",49.75146698951721,50.75884509086609,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lu blom,"[0.7254159450531006, 0.4612581729888916, 1.1174838542938232, 0.6753551959991455, 1.2887389659881592, 0.915398120880127, 1.4725689888000488, 4.08014702796936]",50.75884509086609,50.75884509086609,50.75884509086609,"['l', 'u', 'space', 'b', 'l', 'o', 'm', 'return', 'return']","[0.7254159450531006, 1.1866741180419922, 1.5787420272827148, 1.7928390502929688, 1.9640941619873047, 2.204137086868286, 2.387967109680176, 2.8265650272369385, 5.552716016769409]",56.334755182266235,58.758074045181274,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lu vode,"[0.750903844833374, 0.2987551689147949, 0.9917807579040527, 0.5089740753173828, 1.1612298488616943, 0.6112170219421387, 1.3237228393554688, 0.8720071315765381]",58.758074045181274,58.758074045181274,58.758074045181274,"['l', 'u', 'space', 'v', 'o', 'd', 'e', 'return']","[0.750903844833374, 1.049659013748169, 1.2905359268188477, 1.5007548332214355, 1.6702039241790771, 1.772446870803833, 1.9349398612976074, 2.195729970932007]",60.98460412025452,62.48399305343628,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lu troise,"[0.7661290168762207, 0.26491403579711914, 0.9422869682312012, 0.48664212226867676, 1.1333420276641846, 0.6522200107574463, 1.3169329166412354, 0.7538270950317383, 1.44411301612854, 1.0607991218566895]",62.48399305343628,62.48399305343628,62.48399305343628,"['l', 'u', 'space', 't', 'r', 'o', 'i', 's', 'e', 'return']","[0.7661290168762207, 1.0310430526733398, 1.2072010040283203, 1.428929090499878, 1.6199841499328613, 1.7855620384216309, 1.9691529273986816, 2.0707600116729736, 2.1979401111602783, 2.5049121379852295]",65.01735806465149,66.04507207870483,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lu neimo,"[0.5328540802001953, 0.5458419322967529, 0.7143449783325195, 0.9164049625396729, 0.856032133102417, 1.4597249031066895, 1.250596046447754, 1.6030519008636475, 1.3840811252593994, 1.749344825744629, 1.5291330814361572, 1.9827039241790771, 2.014698028564453]",66.04507207870483,66.04507207870483,66.04507207870483,"['l', 'u', 'space', 'n', 'backspace', 'backspace', 'u', 'space', 'n', 'e', 'i', 'm', 'o', 'return']","[0.5328540802001953, 0.855942964553833, 1.0786960124969482, 1.2601869106292725, 1.6307499408721924, 1.7724370956420898, 2.3157570362091064, 2.7103209495544434, 2.8536479473114014, 2.987133026123047, 3.1334259510040283, 3.278477907180786, 3.5118370056152344, 3.9974019527435303]",70.06698417663574,71.07552003860474,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lu pleck,"[1.080179214477539, 0.24033594131469727, 1.2765111923217773, 0.7392048835754395, 1.707747220993042, 0.9210288524627686, 2.445420265197754, 1.3124189376831055, 2.671809196472168, 1.545440912246704, 2.985488176345825, 1.766784906387329, 3.2304232120513916, 1.9523298740386963, 3.5682802200317383]",71.07552003860474,71.07552003860474,71.07552003860474,"['l', 'u', 'space', 'p', 'l', 'e', 'backspace', 'backspace', 'p', 'backspace', 'space', 'p', 'l', 'e', 'c', 'k', 'return']","[1.080179214477539, 1.3205151557922363, 1.5168471336364746, 1.7253360748291016, 1.8250200748443604, 2.015716075897217, 2.4469521045684814, 2.6287760734558105, 3.3664491176605225, 3.7578392028808594, 3.9842281341552734, 4.217250108718872, 4.530929088592529, 4.752273082733154, 4.997208118438721, 5.182753086090088, 5.520610094070435]",76.6172821521759,78.18386006355286,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu neep,brocanto/stims/to_use/doctor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lu neep,"[0.7234909534454346, 0.5090160369873047, 1.0598199367523193, 0.7322440147399902, 1.3629150390625, 0.8956968784332275, 1.6359460353851318, 1.2109229564666748]",78.18386006355286,78.18386006355286,78.18386006355286,"['l', 'u', 'space', 'n', 'e', 'e', 'p', 'return']","[0.7234909534454346, 1.2325069904327393, 1.568835973739624, 1.7920639514923096, 2.0951590538024902, 2.2586119174957275, 2.5316429138183594, 2.8468689918518066]",81.05046010017395,82.07084608078003,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lu blom,"[0.5454361438751221, 0.5334160327911377, 0.7717530727386475, 0.7306718826293945, 0.9191691875457764, 0.9508728981018066, 1.0798730850219727, 1.2743079662322998]",82.07084608078003,82.07084608078003,82.07084608078003,"['l', 'u', 'space', 'b', 'l', 'o', 'm', 'return']","[0.5454361438751221, 1.0788521766662598, 1.3051691055297852, 1.502424955368042, 1.649841070175171, 1.870042085647583, 2.0307459831237793, 2.3541810512542725]",84.44989109039307,86.44086217880249,,,,,,,,,,,,,,,,,,,,1,2,2022-10-22_19h24.45.938,memory and syntax,2022.2.4,59.936181310240855,
