load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.duration,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmt_key_resp2.rt,cvmt_key_resp2.duration,cvmt_final_samp_fb_key_resp.rt,cvmt_final_samp_fb_key_resp.duration
0.0019,0.2033,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,0.2311,4.644,4.6546,5.2223,5.2987,7.2389,o,0,0.9802,,7.2403,7.2443,,0,7.2453,8.8042,c,1.5422,,8.8056,8.809,,0,0,0,0,1,cvmt/sample/s1.jpg,n,,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,8.8121,10.8033,,0,,,10.8043,17.0154,n,1,17.0164,17.031,,,,17.0322,17.034,,0,1,1,1,1,cvmt/sample/s2.jpg,n,6.1902,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,17.0379,19.0309,n,0,0.8825,,19.032,19.0357,,0,19.0368,25.5937,c,6.5319,,25.5946,25.5973,,0,2,2,2,1,cvmt/sample/s3.jpg,o,,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,25.6106,27.6088,o,0,0.7485,,27.6097,27.6145,,0,27.6153,31.6743,c,4.0359,,31.6753,31.6771,,0,3,3,3,1,cvmt/sample/s4.jpg,n,,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,31.68,33.6713,,0,,,33.6725,33.6874,n,1,33.6885,33.693,,,,33.6939,33.6956,,0,4,4,4,1,cvmt/sample/s5.jpg,n,0.0004,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,33.6986,35.6873,n,1,1.0315,,35.6883,35.6908,,0,35.6917,35.6938,,,,35.6947,35.6964,,0,5,5,5,1,cvmt/sample/s6.jpg,n,,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,35.6992,37.7025,n,0,0.3481,,37.7036,37.7057,,0,37.7068,65.2339,c,27.5076,,65.2348,65.2369,,0,6,6,6,1,cvmt/sample/s7.jpg,o,,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,65.2509,67.2497,,0,,,67.2506,67.3324,n,1,67.3333,67.3376,,,,67.3385,67.3403,,0,7,7,7,1,cvmt/sample/s8.jpg,n,0.0707,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,67.3431,69.3472,n,1,0.9294,,69.3483,69.3529,,0,69.3539,69.3559,,,,69.3568,69.3587,,0,8,8,8,1,cvmt/sample/s9.jpg,n,,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,69.3614,71.3623,n,1,0.2603,,71.3633,71.3657,,0,71.3668,71.3689,,,,71.3699,71.3718,,0,9,9,9,1,cvmt/sample/s10.jpg,n,,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,71.3747,73.3779,n,0,0.344,,73.3789,73.3813,,0,73.3824,77.559,c,4.1636,,77.5599,82.8226,r,0,10,10,10,1,cvmt/sample/s11.jpg,o,,,5.2414,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,82.8256,84.8209,,0,,,84.8223,92.1325,n,1,92.1334,92.1472,,,,92.148,92.1509,,1,0,11,0,1,cvmt/sample/s1.jpg,n,7.2947,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,92.1539,94.1484,n,1,1.2045,,94.1494,94.1541,,0,94.1551,94.157,,,,94.1579,94.1597,,1,1,12,1,1,cvmt/sample/s2.jpg,n,,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,94.1624,96.1637,n,0,0.8007,,96.1646,96.1673,,0,96.1682,102.9086,c,6.7157,,102.9095,102.9112,,1,2,13,2,1,cvmt/sample/s3.jpg,o,,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,102.9248,104.9243,o,0,1.3564,,104.9252,104.9287,,0,104.9296,107.3897,c,2.4359,,107.3909,107.3928,,1,3,14,3,1,cvmt/sample/s4.jpg,n,,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,107.4078,109.4049,n,1,0.8721,,109.4059,109.4094,,0,109.4103,109.4134,,,,109.4143,109.4161,,1,4,15,4,1,cvmt/sample/s5.jpg,n,,,,
,,96169,118,1,2024-03-13_14h00.50.707,Memory and Syntax,2023.2.3,MacIntel,62.5,,,,,109.4189,111.4205,n,1,0.37,,111.4215,111.4236,,0,111.4245,111.4265,,,,111.4274,111.4291,,1,5,16,5,1,cvmt/sample/s6.jpg,n,,,,
